x_gyro,y_gyro,z_gyro,time
0.027954102,0.057647705,-0.0033721924,1508224068565
-0.057266235,-0.031829834,0.009399414,1508224068591
-0.03703308,-0.0019989014,0.013671875,1508224068613
0.022628784,0.03527832,0.010467529,1508224068640
0.040725708,0.048065186,-0.006576538,1508224068666
0.013031006,0.019302368,0.0030212402,1508224068707
0.03327942,0.008651733,0.017929077,1508224068729
0.0513916,0.036346436,0.005142212,1508224068750
0.0513916,0.03315735,0.009399414,1508224068776
0.03753662,0.013977051,0.008346558,1508224068802
0.0077056885,0.020370483,-0.0012512207,1508224068829
0.018356323,0.015045166,0.0115356445,1508224068856
0.011962891,0.0022583008,0.013671875,1508224068876
-0.0040130615,0.016113281,0.009399414,1508224068903
0.0066375732,0.019302368,0.001953125,1508224068937
0.029006958,0.050201416,-0.025741577,1508224068964
0.04499817,0.114105225,-0.038528442,1508224068985
0.024749756,0.043807983,-0.033203125,1508224069005
-0.03703308,-0.03289795,-0.02041626,1508224069033
-0.03277588,-0.01159668,0.017929077,1508224069064
0.062042236,0.050201416,0.020065308,1508224069080
0.08013916,0.071502686,0.014724731,1508224069100
0.052444458,0.007583618,0.020065308,1508224069121
-0.006134033,-0.009460449,0.017929077,1508224069142
-0.013595581,-0.022247314,0.025390625,1508224069157
0.0077056885,-0.01159668,0.028579712,1508224069178
0.0513916,-0.008392334,0.01260376,1508224069193
0.04711914,0.02355957,-0.006576538,1508224069220
0.013031006,0.039535522,-0.005508423,1508224069243
-0.001876831,0.026763916,0.008346558,1508224069269
0.002380371,-0.005203247,0.005142212,1508224069289
0.0034484863,1.2207031E-4,-0.0119018555,1508224069322
0.015167236,0.0054473877,-0.0044403076,1508224069353
0.034347534,-0.022247314,0.0072784424,1508224069380
0.009841919,-0.013717651,-0.002319336,1508224069413
0.0034484863,-0.005203247,0.001953125,1508224069434
0.0045166016,-0.004135132,0.009399414,1508224069460
0.018356323,0.006515503,-1.8310547E-4,1508224069476
0.025817871,0.017166138,0.005142212,1508224069498
0.009841919,0.0022583008,0.008346558,1508224069519
0.0013122559,-0.026504517,0.0072784424,1508224069541
0.031143188,-0.008392334,0.0040740967,1508224069573
0.026885986,0.016113281,-0.00869751,1508224069605
-0.009338379,-0.055267334,0.008346558,1508224069636
0.017303467,0.0054473877,0.001953125,1508224069658
0.03327942,0.040603638,8.8500977E-4,1508224069684
0.0077056885,0.0011901855,-0.0033721924,1508224069705
-0.019989014,-0.019042969,-0.015090942,1508224069732
-0.016799927,-9.460449E-4,-0.006576538,1508224069752
0.03753662,-0.015853882,8.8500977E-4,1508224069779
0.036468506,0.016113281,-0.002319336,1508224069804
0.021560669,-0.028640747,-1.8310547E-4,1508224069832
0.005584717,-0.057403564,-0.0076446533,1508224069853
0.027954102,0.0491333,-0.0044403076,1508224069884
0.016235352,0.012908936,-0.002319336,1508224069905
-0.0072021484,-0.004135132,8.8500977E-4,1508224069937
0.009841919,0.0011901855,0.008346558,1508224069958
0.017303467,0.019302368,8.8500977E-4,1508224069984
0.005584717,-0.0030670166,0.005142212,1508224070017
0.005584717,-0.04673767,0.0040740967,1508224070039
0.016235352,-0.0073242188,-0.0012512207,1508224070060
0.018356323,-0.0019989014,-0.0012512207,1508224070086
-0.016799927,0.0043945312,-0.002319336,1508224070125
0.0013122559,0.048065186,-0.021484375,1508224070146
-0.018920898,-0.019042969,-0.016159058,1508224070177
0.032211304,-0.06484985,-0.015090942,1508224070206
0.10784912,-0.03715515,-0.04598999,1508224070242
0.12168884,0.022491455,-0.041732788,1508224070263
0.050323486,0.019302368,-0.03640747,1508224070296
-0.0029449463,0.038482666,-0.0076446533,1508224070335
-0.06259155,0.053390503,0.02218628,1508224070372
-0.049819946,-0.0019989014,0.032836914,1508224070399
-0.047683716,0.0043945312,0.03390503,1508224070425
-0.026382446,-0.04248047,0.029647827,1508224070447
0.0077056885,0.0022583008,0.02432251,1508224070479
0.019424438,0.006515503,0.0317688,1508224070500
0.02368164,-0.03289795,0.025390625,1508224070521
0.031143188,-0.008392334,8.8500977E-4,1508224070543
0.062042236,0.12049866,-0.018295288,1508224070564
0.07481384,0.10984802,-0.015090942,1508224070585
-0.0072021484,0.0054473877,-0.01083374,1508224070605
-0.07751465,-0.07550049,-0.025741577,1508224070626
-0.016799927,0.07469177,-0.014038086,1508224070658
-0.016799927,0.07469177,-0.014038086,1508224070679
0.06416321,0.028884888,0.0030212402,1508224070700
0.016235352,0.003326416,0.0072784424,1508224070731
0.0077056885,0.016113281,0.0115356445,1508224070757
0.0034484863,-0.02331543,0.010467529,1508224070778
